D1109	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
D2931	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་མན་ངག
D2932	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་རིན་ཆེན་སྣང་བ་ཞེས་བྱ་བ
D2933	རྡོ་རྗེ་ཁྲོ་བོས་བསད་པའི་ལས་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D2934	ཕྱག་ན་རྡོ་རྗེ་གོས་སྔོན་པོ་ཅན་གཏུམ་པོ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
D2935	སྦྱིན་སྲེག་གི་ཆོ་ག
D2936	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་གཏུམ་པོ་ཁྲོས་པ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D2937	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་དཀྱིལ་འཁོར་གྱི་ལག་ལེན་གོ་རིམས་ཇི་ལྟ་བ་ཞེས་བྱ་བ
D2938	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་གཟུངས་ཀྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D2939	འཕགས་པ་རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་ཁྲུས་ཀྱི་ཆོ་ག
D2940	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D2941	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་ཁྲུས་ཀྱི་ཆོ་ག་ཞེས་བྱ་བ
D2942	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
D2943	དབང་བསྐུར
D2944	དམ་ཚིག་བསྲུང་བ
D2945	ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ
D2946	ལྷ་མོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ
D2947	དཔའ་བོ་གཅིག་པའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་བདུད་རྩི་བུམ་པའི་ཆོ་ག
D2948	ཡབ་ཡུམ་གཉིས་པའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ་བདེ་སྦྱིན་དམ་པ་ཞེས་བྱ་བ
D2949	བདུད་རྩི་ཐབ་སྦྱོར་ཞེས་བྱ་བ་ཁྲོ་བ་ཁྲོ་བོ་བཞིའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག་ཟབ་མོ
D2950	སྒོ་མ་བཞིའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་རིན་པོ་ཆེ་དྲི་མ་མེད་པ་ཞེས་བྱ་བ
D2951	རྒྱལ་པོ་ཆེན་པོ་བཞིའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ
D2952	ཕྱོགས་སྐྱོང་བ་བཅུའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག
D2953	གཟའ་ཆེན་པོ་བརྒྱད་ཀྱི་སཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག་ཉི་མ་བཅུད་ལེན་ཞེས་བྱ་བ
D2954	རྒྱུ་སྐར་ཉི་ཤུ་རྩ་བརྒྱད་ཀྱི་དབང་བསྐུར་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་རྡོ་རྗེ་གོ་ཆ་མ་ཞེས་བྱ་བ
D2955	ལྷ་ཆེན་པོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ་ལེགས་པའི་ལམ་སྟོན་པར་བྱེད་པ་ཞེས་བྱ་བ
D2956	ཀླུ་ཆེན་པོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ་དུག་ལས་རྒྱལ་བ་ཞེས་བྱ་བ
D2957	སྔ་མ་དང་ད་ལྟར་དང་ཕྱི་མའི་སྡིག་པ་མ་ལུས་པ་ལས་ཐར་པར་བྱེད་པ་འཕགས་པ་རྡོ་རྗེ་རྣམ་པར་འཇོམས་པ་ཁྲུས་ཀྱི་ཆོ་ག
D2958	འཕགས་པ་རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་རབ་ཏུ་གནས་པའི་ཆོ་ག
D2959	དཔལ་རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་ལས་ལ་སྦྱར་བ་འགྲུབ་པར་ངེས་པའི་ཆོ་ག
D2960	མན་ངག་གི་སྒྲུབ་པའི་རྣལ་འབྱོར་པའི་ཚེ་དང་སྟོབས་སྒྲུབ་པ་ཞེས་བྱ་བ
D2961	རྒྱུད་ཀྱི་བདེན་པའི་དོན་ངེས་པར་སྒྲུབ་པ་རྣལ་འབྱོར་པའི་པྲ་སེ་ན་ལེགས་པར་བརྟག་པ
D2962	དོད་པའི་དོན་དུས་ལ་ངེས་པར་སྒྲུབ་པ
D2963	རྒྱུད་ཀྱི་བསྟན་པ་ཞེས་བྱ་བའི་ཚིག་ལེགས་པར་སྒྲུབ་པ་ཞེས་བྱ་བ
D2964	རྒྱུད་ཐམས་ཅད་ཐོགས་པ་མེད་པའི་ཚིགས་ལེགས་པར་སྒྲུབ་པ
D2965	མནའ་ལས་རྣམ་པར་རྒྱལ་བའི་སྒྲུབ་ཐབས
D2966	ཚོང་ལས་རྣམ་པར་རྒྱལ་བའི་སྒྲུབ་ཐབས
D2967	ཕ་རོལ་གྱི་སྡེ་རབ་ཏུ་འཇོམས་པར་བྱེད་པའི་བྱེད་པའི་སྒྲུབ་ཐབས
D2968	རང་རྟགས་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས་བདུན་པ་ལས་ཀྱི་བྱེ་བྲག་བཅུ
D2969	སྒྲུབ་བྱ་གཟའི་བྱད་དུ་གཞུག་པའི་འཁོར་ལོ་ཅན
D2970	ཐེ་ཚོམ་མེད་པར་འགྲུབ་པ་ལས་སྒྲུབ་བྱ་ཐོག་གིས་བསད་པའི་ཆོ་ག་དྲག་ཤུལ་ཞེས་བྱ་བ
D2971	བསྒྲུབ་བྱ་སྐྲག་པའི་ལས་ཆུ་ཐིགས་ཞེས་བྱ་བ
D2972	གལ་བ་སྐྲག་པར་བྱེད་པའི་ལས་སྣ་ཚོགས་པའི་ཆོ་ག་མགལ་པ་མེའི་འཁོར་ལོ་ཞེས་བྱ་བ
D2973	གཞན་གྱི་རིག་སྔགས་བཅད་པ་རྒྱུན་གཅོད་སྤུ་གྲི་ཞེས་བྱ་བ
D2974	གཞན་གྱི་རིག་སྔགས་མནན་པ་གསེར་གི་རི་བོ་ཞེས་བྱ་བ
D2975	ལས་ཐམས་ཅད་འཇོམས་པའི་ཡེ་ཤེས་འདུས་པའི་ཐོ་བ་ཞེས་བྱ་བ
D2976	གཞན་གྱི་རིག་སྔགས་བཤིག་པའི་ཕྱིར་བཟློག་པ
D2977	གཞན་གྱི་ལས་འཇིགས་པར་བྱེད་པ་རྡོ་རྗེ་རྣོན་པོ་ཞེས་བྱ་བ
D2978	མུ་སྟེགས་ཅན་གྱི་རིག་སྔགས་འཇིག་པའི་བསྒྲུབ་པ་ཉེ་བའི་ལས་ཕྱི་མ་ཞེས་བྱ་བ
D2979	གདོན་ཐམས་ཅད་བརླག་པར་བྱེད་པ་རྡོ་རྗེ་ཐོ་བ་ཞེས་བྱ་བ
D2980	ལྷའི་གདོན་ལས་ཐར་པར་བྱེད་པའི་མན་ངག
D2981	བྱུང་པོའི་གདོན་ལས་ཐར་བར་འགྱུར་བ
D2982	དྲི་ཟའི་གདོན་ལས་ཐར་པར་ངེས་པ
D2983	ཚངས་པའི་གདོན་ཐམས་ཅད་ལས་ཐར་པར་ངེས་པ
D2984	སྲིན་པོའི་གདོན་ལས་ཐར་ངེས་པ
D2985	ཤ་ཟའི་གདོན་ལས་ངེས་པར་ཐར་པ
D2986	ཀླུའི་གདོན་ལས་ཐར་པར་ངེས་པ
D2987	ལོག་འདྲེན་གྱི་གདོན་ལས་ངེས་པར་ཐར་པ
D2988	བརྗེད་བྱེད་ཀྱི་གདོན་ལས་ཐར་པར་བྱེད་པ
D2989	སྨྱོ་བྱེད་ཀྱི་གདོན་ལས་ཐར་པར་ངེས་པ
D2990	ལྷ་མ་ཡིན་གྱི་གདོན་ལས་ཐར་པར་ངེས་པ
D2991	གཞོན་ནུའི་གདོན་བཞི་ལས་ཐར་པར་བྱེད་པའི་མན་ངག
D2992	གནོད་སྦྱིན་གྱི་གདོན་ལས་ཐར་པར་བྱེད་པའི་མན་ངག
D2993	བྱུང་པོ་འགུགས་པའི་སྒྲུབ་པ་རྡོ་རྗེ་ལྕགས་ཀྱུ་ཞེས་བྱ་བ
D2994	རིག་སྔགས་ཀྱི་ལས་ཐམས་ཅད་བྱེད་དུ་འཇུག་པའི་ལས་ཀྱི་བྱེ་བྲག་བཞི་བཅུ་རྩ་གཉིས་བཀོད་པ་ཡིད་བཞིན་ནོར་བུ་འོད་འབར་བ་ཞེས་བྱ་བ
D2995	གཟུངས་སྔགས་ཀྱི་ལས་མ་གྲུབ་པ་རྣམས་འགྲུབ་པར་བྱེད་པ་རྡོ་རྗེ་བེ་ཅོན་ཞེས་བྱ་བ
D2996	གཟུངས་སྔགས་ཀྱི་ལས་གྲུབ་པ་རྣམས་ཆུད་མི་ཟ་བར་བྱེད་པ་རིན་པོ་ཆེའི་གཏེར་སྒྲུབ་ཞེས་བྱ་བ
D2997	ཀླུའི་ལས་ཆར་དབད་པ་བདུད་རྩིའི་རྒྱུན་ཞེས་བྱ་བ
D2998	ཀླུ་རྣམས་མཉེས་པར་བྱེད་པའི་ཆུ་ལ་བརྟེན་པའི་གཏོར་མ་བདུད་རྩི་རྒྱ་མཚོ་ཞེས་བྱ་བ
D2999	སེམས་ཅན་བསྲུང་བའི་ལས་སྤྲིན་བྲལ་བའི་འབྱུང་བ་གཅོད་བྱེད་ཅེས་བྱ་བ
D3000	བྱིས་པ་གདོན་ལས་ཐར་པར་བྱེད་པའི་སྒྲུབ་པ་གསང་བ་མེའི་འཁོར་ལོ་ཞེས་བྱ་བ
D3001	ཞི་བའི་སྦྱིན་སྲེག་གི་ཆོ་ག་རྒྱུད་ཞི་བའི་མཚན་དོན
D3002	རྒྱུད་ཀྱི་རྒྱས་པ་ཞེས་བྱ་བའི་ཚིག་ལེགས་པར་སྒྲུབ་པ་རྡོ་རྗེ་རྣམ་པར་འཇོམས་ཀྱི་རྒྱས་པར་བྱེད་པའི་སྦྱིན་སྲེག་གི་ཆོ་ག
D3003	མངོན་སྤྱོད་ཀྱི་སྦྱིན་སྲེག་གི་སྒོ་ནས་ཚར་གཅད་པའི་ཆོ་ག
D3004	འཕགས་པ་རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་ལས་མྱུར་བར་བྱེས་པའི་ལས་ཆོ་ག
D3005	སེམས་ཅན་ཐམས་ཅད་རེངས་པར་བྱེད་པའི་ལས་ཇག་ཆིངས་འཕྲུལ་ཡིག་ཅེས་བྱ་བ
D3006	བསྒྲུབ་བྱ་རེངས་པའི་ལས་སྣ་ཚོགས་པ་བསྟན་པ་རླུང་གི་ཞགས་པ་ཞེས་བྱ་བ
D3007	བསྒྲུབ་བྱ་ཀླུ་རྣམས་ཀྱི་བྱད་དུ་གཞུག་པའི་ཆོ་ག་སྲོག་གཅོད་ཀྱི་སྤུ་གྲི་ཞེས་བྱ་བ
D3008	ཚ་བའི་རིམས་ཀྱིས་དགྲ་བསད་པའི་རལ་གྲིའི་འཁོར་ལོ་ཞེས་བྱ་བ
D3009	སེམས་ཅན་ཐམས་ཅད་རྨུགས་པར་བྱེད་པའི་ལས་ཀྱི་མཐའ་གཟི་མདངས་ཆེན་མོ་ཞེས་བྱ་བ
D3010	དཔལ་བཀྲ་ཤིས་བསྐྱེད་པ་ཉི་མའི་འོད་ཅེས་བྱ་བ་དཔལ་ཀུན་གྱིས་ནི་བརྒྱན་པའི་མཐའ
D3011	མིག་གི་དབང་པོ་ཉམས་པ་གསོ་བའི་ཆོ་ག་གསལ་བའི་སྣང་བ་ཞེས་བྱ་བ
D3012	རྣ་བའི་དབང་པོ་ཉམས་པ་དང་དེའི་ནད་གསོ་བའི་ཆོ་ག་སྒྲ་ལས་རྣམ་པར་རྒྱལ་བ་ཞེས་བྱ་བ
D3013	སྣའི་དབང་པོ་ཉམས་པ་དང་ན་བ་གསོ་བ་དྲི་མ་དང་བྲལ་བའི་སྦྱོང་བྱེད་ཅེས་བྱ་བ
D3014	ལྕེའི་དབང་པོ་ཉམས་པ་གསོ་བའི་ཆོ་ག་པདྨ་རྒྱས་པ་ཞེ་བྱ་བ
D3015	ལུས་ཀྱི་དབང་པོ་ཉམས་པ་དང་ལུས་ན་བ་གསོ་བའི་ཆོ་ག་རྡོ་རྗེ་རྒྱལ་མཚན་ཞེས་བྱ་བ
D3016	ཚེ་ཟད་པ་བསྲིང་བའི་ཆོ་ག་རྒྱུན་གྱི་འཁོར་ལོ་ཞེས་བྱ་བ
D3017	མཆོད་རྟེན་ལ་གདབ་པ་ཤི་བའི་སྡིག་པ་བྱང་བར་བྱེད་པ་རང་འབྱུང་འཇིགས་བྲལ་ཞེས་བྱ་བ
D3018	མཆོད་རྟེན་ལ་གདབ་པ་ཤི་བའི་སྡིག་པ་བདཡང་བར་བྱེད་པ་རང་འབྱུང་འཇིགས་བྲལ་ཞེས་བྱ་བ
D3019	སེམས་ཅན་ཚེ་ཟད་པ་བྲིང་བའི་ཆོ་ག་བསྒྲུབ་པ་པདྨ་དབྱིག་སྒྲུབ་ཅེས་བྱ་བ
D3020	དལ་འབྱོར་ཆེན་པོའི་སྒྲུབ་པ་བཅུད་ཀྱི་ལེན་པ་ཞེས་བྱ་བ
D3021	ལན་ཆགས་དང་བྲལ་བར་བྱེད་པ་གཏོར་མའི་ལས་དཔག་བསམ་གྱི་སྡོང་པོ་ཞེས་བྱ་བ
D3022	ལོངས་སྤྱོད་དང་ལྡན་པར་ངེས་པའི་དཔལ་ཚོགས་ཀྱི་གཏོར་མ་རིན་པོ་ཆེ་ལེགས་ཕྲེང་ཞེས་བྱ་བ
D3023	ཕུན་སུམ་ཚོགས་པའི་ལས་ཉེ་བར་སྒྲུབ་པར་བྱེད་པ་ལས་ཚོགས་སྟོང་རྒྱས་ཞེས་བྱ་བ
D3024	འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ་པ་ཞེས་བྱ་བ
D3025	སྐྱེ་བོ་སྡང་བའི་ལས་མྱུར་བྱེད་ཆེན་མོ་ཞེས་བྱ་བ
D3026	གཞན་གྱི་ལྕེ་འབབ་པ་ཟློག་པ་ཞེས་བྱ་བ
D3027	སྡང་བ་གསུམ་གྱི་ལས་ཐོར་བུ་པ
D3028	བྲན་དང་གཟའ་མི་གདོན་གྱིས་གཙེས་པ་བསྲུང་བའི་ཆོ་ག་ཆེན་མོ་ཞེས་བྱ་བ
D3029	མི་མཐུན་པ་ཞི་བར་བྱེད་པའི་རྩི་སྦྱོར་དབྱིག་གི་ནོར་བུ་ཞེས་བྱ་བ
D3030	ནོར་འགྲིབ་པ་དགང་བའི་ཆོ་ག་དཔག་བསམ་ཤིང་རྒྱས་པ་ཞེས་བྱ་བ
D3031	ཐོགས་བདག་གི་བསྒྲུབ་པ་དབུལ་བའི་གཏེར་སྦྱིན་ཞེས་བྱ་བ
D3032	ཇིགས་པ་བརྒྱད་ལས་ཐར་པའི་སྒྲུབ་པ་སྦས་པའི་གའུ་ཞེས་བྱ་བ
D3033	གཟའ་ངན་པ་བཟློག་པའི་ཆོ་ག་རྒྱ་མཚོ་སྤྲིན་ཞེས་བྱ་བ
D3034	གཟའི་གདོན་ལས་གྲོར་བར་བྱེད་པའི་ཆོ་ག་རིན་པོ་ཆེ་གྲོལ་བྱེད་ཅེས་བྱ་བ
D3035	གཟའ་བརྒྱད་ཀྱི་ལས་མ་གྲུབ་པ་རྣམས་གྲུབ་པར་བྱེད་པའི་ཆོ་ག་འདོད་པ་རབ་ཏུ་ཞི་བ་ཞེས་བྱ་བ
D3036	རྒྱུ་སྐར་ངན་པ་བཟློག་པར་པའི་ཆོ་ག
D3037	རྒྱུད་སྐར་རྣམས་ཀྱི་ལས་སྣ་ཚོགས་པ་སྒྲུབ་པར་བྱེད་པ་དུས་འཛིན་བཟང་པོ་ཞེས་བྱ་བ
D3038	བཟློག་པའི་འཁོར་ལོ་ཞེས་བྱ་བ
D3039	ཀླུ་ཆེན་པོ་བརྒྱད་མཆོད་པས་མི་བཟག་པའི་ནད་ཡམས་དྲག་པོ་ལས་ཐེ་བར་བྱེད་པ
D3040	ཀླུ་སྒྲུབ་རིན་པོ་ཆེ་དབྱིག་སྒྲུབ་ཅེས་བྱ་བ
D3041	ཀླུའི་གདོན་ལས་གྲོལ་བར་བྱེད་པ་སྦྲུལ་འཛིན་གསང་བ་ཞེས་བྱ་བ
D3042	ཀླུའི་གདོན་ལས་ཐར་བར་བྱེད་པའི་ལས་ཀླུའི་སྲོག་མེ་དཔལ་གྱི་འཁོར་ལོ་ཞེས་བྱ་བ་ཀླུའི་རྣམ་པར་འཇོམས་པའི་སྙིང་གཟེན་དུ་བཀོད་པ
D3043	མི་བཟད་པའི་ནད་ཤི་བར་བྱེད་པ་གསེར་གྱི་རྒྱ་མཚོ་ཞེས་བྱ་བ
D3044	ཚེ་འཕེལ་བའི་སྒྲུབ་ཐབས་རྒྱལ་མཚན་གྱི་རྩེ་མོ་ཞེས་བྱ་བ
D3045	བསོད་ནམས་འཕེལ་བར་བྱེད་པའི་དཔལ་ཡེ་ཤེས་ཀྱི་ཕྲེང་བ་ཞེས་བྱ་བ
D3046	སྒྲ་ལ་གནས་པའི་བསམ་གཏན་ཞེས་བྱ་བ
D3047	སྒྲ་ལ་མི་གནས་པའི་བསམ་གཏན་ཞེས་བྱ་བ་རྣལ་འབྱོར་པའི་འཁོར་རྐྱེན་དྲུངས་ནས་འདོན་པ
D3048	སྒྲ་མཐར་གྱི་རྣལ་འབྱོར་པའི་ལུས་སེམས་ཀྱི་འབྲེལ་པ་གཅད་པ
D3049	ཐེམ་ཡིག་གསང་བ་ཞེས་བྱ་བ
D3050	ཁྲོ་བོའི་རྒྱལ་པོ་རྡོ་རྗེ་གནམ་ལྕགས་འབར་བ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས་ཀླུ་འདུལ་བའི་ངན་ཐབས
D3051	ཁྲོ་བོའི་རྒྱལ་པོ་རྡོ་རྗེ་གནམ་ལྕགས་འབར་བ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
D3052	གཤིན་རྗེ་གསེད་པོ་སྒྲུབ་པའི་ཐབས
D3053	རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས
D3054	རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D3055	རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D3056	རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D3057	འཕགས་པ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D3058	དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས
D3059	འཕགས་པ་མི་ག-ཡོ་བའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D3060	ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་ག-ཡོ་བ་ལ་བསྟོད་པ
D3061	ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་ག-ཡོ་བ་ལ་བསྟོད་པ
D3062	ཁྲོ་ཆེན་གཏུམ་པའི་སྒྲུབ་ཐབས
D3063	ཁྲོ་བོ་གཏུམ་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D3064	གཏུམ་པོ་ཁྲོ་བོ་དཀར་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས
D3065	འཕགས་པ་མི་ག-ཡོ་བའི་སྒྲུབ་ཐབས
D3066	ལེགས་པར་གྲུབ་པར་བྱེད་པའི་སྒྲུབ་པའི་ཐབས་བསྡུས་པ
D3067	དགེ་བའི་འདོད་འཇོ
D3068	འཕགས་པ་ཀུན་ནས་སྒོར་འཇུག་པའི་འོད་ཟེར་གཙུག་ཏོར་དྲི་མ་མེད་པར་སྣང་བའི་གཟུངས་བཀླག་ཅིང་མཆོད་རྟེན་བརྒྱ་རྩ་བརྒྱད་དམ་མཆོད་རྟེན་ལྔ་གདབ་པའི་ཆོ་ག་མདོ་སད་ལས་བསྡུས་པ
D3069	འཕགས་པ་ཀུན་ནས་སྒོར་འཇུག་པའི་འོད་ཟེར་གཙུག་ཏོར་དྲི་མ་མེད་པར་སྣང་བའི་གཟུངས་བཀླག་ཅིང་མཆོད་རྟེན་བརྒྱ་རྩ་བརྒྱད་དམ་མཆོད་རྟེན་ལྔ་གདབ་པའི་ཆོ་ག་མདོ་སྡེ་ལས་བཏུས་པ
D3070	མཆོད་རྟེན་བརྒྱ་རྩ་བརྒྱད་བྱ་བ
D3071	མཆོད་རྟེན་གདབ་པའི་ཆོ་ག
D3072	མཆོད་རྟེན་དང་ཚ་ཚ་གདབ་པ
D3073	མཆོད་རྟེན་གསུམ་གདབ་པའི་ཆོ་ག
D3074	མཆོད་རྟེན་ལྔ་གདབ་པའི་ཆོ་ག
D3075	མཆོད་རྟེན་དགུ་གདབ་པའི་ཆོ་ག
D3076	མཆོད་རྟེན་བྱེ་བ་གདབ་པའི་ཆོ་ག
D3077	སངས་རྒྱས་ཀྱི་སྐུ་བཤད་པ
D3078	མཆོད་རྟེན་གྱི་དབྱེ་བ་འདུལ་བ་བྱུང་བའི་མདོ
D3079	དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་དམ་ཚིག་བསྲུང་བའི་སྒྲུབ་ཐབས
D3080	མཆོད་རྟེན་ལྔ་གདབ་པའི་ཆོ་ག
D3081	གཙུག་ཏོར་དྲི་མ་མེད་པའི་གཟུངས་ཀྱི་ཆོ་ག
D3082	གཙུག་ཏོར་དྲི་མ་མེད་པའི་གཟུངས་ཀྱི་ཆོ་ག
D3083	འཕགས་མ་གདུགས་དཀར་མོ་ཅན་གཞན་གྱིས་མི་ཐུབ་མ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
D3084	འཕགས་པ་གཞན་གྱིས་མི་ཐུབ་པ་གདུགས་དཀར་མོ་ཅན་གྱི་གཏོར་མའི་ཆོ་ག་ཞེས་བྱ་བ
D3085	འཕགས་པ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར་ནས་བྱུང་བའི་གདུགས་དཀར་མོ་ཅན་གཞན་གྱིས་མི་ཐུབ་པ་ཕྱིར་བཟློག་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་སྒྲུབ་ཐབས
D3086	བསྲུང་བའི་འཁོར་ལོ
D3087	ཁྲུལ་འཁོར
D3088	བཟློག་པའི་ཐབས
D3089	བགེགས་བཟློག་ཅིང་གཟིར་བའི་ཐབས
D3090	དམག་དཔུང་གཞོམ་པའི་ཐབས
D3091	དངོས་གྲུབ་བསྒྲུབ་པའི་ཐབས
D3092	ཇིགས་པ་ལས་སྐྱོབ་པའི་ཐབས
D3093	སེར་བ་བསྲུང་བའི་ཐབས
D3094	མཛེ་ནད་གསོ་བའི་ཐབས
D3095	གཏོར་མའི་ཆོ་ག
D3096	འཕགས་པ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར་ནས་བྱུང་བའི་གདུགས་དཀར་མོ་ཅན་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་ཆོ་ག་ཞེས་བྱ་བ
D3097	རིམས་བསྲུང་བའི་ཆོ་ག
D3098	ཕྱུགས་ནད་གོར་བསྲུང་བའི་ཆོ་ག
D3099	ཞི་བའི་སྦྱིན་སྲེག
D3100	མངོན་སྤྱོད་ཀྱི་ལས
D3101	སྦྱིན་སྲེག
D3102	དངོས་གྲུབ་སྒྲུབ་པའི་སྒོ་ནས་སྲིའུ་གསོ་བ
D3103	བཟློག་པའི་ཟོར་བྱ་བའི་ཆོ་ག
D3104	མཆོད་རྟེན་སྒྲུབ་པའི་ཆོ་གའི་རིམ་པ་ཞེས་བྱ་བ
D3105	གཙུག་ཏོར་ནས་བྱུང་བའི་གདུགས་དཀར་མོ་ཅན་སྦྱིན་སྲེག་གི་ཆོ་ག
D3106	འཕགས་མ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར་ནས་བྱུང་བའི་གདུགས་དཀར་མོ་ཅན་གཞན་གྱིས་མི་ཐུབ་མ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
D3107	འཕགས་པ་གདུགས་དཀར་མོ་ཅན་གྱི་ཚ་ཚའི་ཆོ་ག་ཞེས་བྱ་བ
D3108	གཙུག་ཏོར་ནས་བྱུང་བའི་གདུགས་དཀར་མོ་ཅན་གྱི་ཆོ་ག་ཞེས་བྱ་བ
D3109	འཕགས་པ་གདུགས་དཀར་ཅན་ལ་བསྟོད་པ
D3110	འཕགས་པ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར་ནས་བྱུང་བའི་གདུགས་དཀར་མོ་ཅན་གཞན་གྱི་མི་ཐུབ་པ་ཞེས་བྱ་བའི་ཉེ་བར་བཤད་པ
D3111	གཞན་གྱིས་མི་ཐུབ་པ་གདུགས་དཀར་མོ་ཅན་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་སྒྲུབ་པའི་ཐབས
D3112	འཕགས་པ་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་གཙུག་ཏོར་ནས་བྱུང་བའི་གདུགས་དཀར་མོ་ཅན་ཞེ་བྱ་བའི་གཟུངས་ཀྱི་སྒྲུབ་ཐབས
D3113	རབ་ཏུ་གནས་པའི་ཆོ་ག་ཞེས་བྱ་བ
D3114	འཕགས་མ་གདུགས་དཀར་མོ་ཅན་གཞན་གྱིས་མི་ཐུབ་པ་སྒྲུབ་པའི་ཐབས
D3115	བཅོམ་ལྡན་འདས་མ་གཙུག་ཏོར་རྣམ་པར་རྒྱལ་མ་ལ་བསྟོད་པ
D3116	འཕགས་མ་གཙུག་ཏོར་གདུགས་དཀར་མོ་ལ་བསྟོད་པ
D3117	འཕགས་མ་རིག་པ་ཆེན་མོ་སོ་སོར་འབྲང་མའི་འཁོར་ལོའི་སེམས་སྦྱང
D3118	སོ་སོར་འབྲང་མའི་བསྲུང་བའི་འཁོར་ལོ་བདྲི་བའི་ཐབས
D3119	སོ་སོར་འབྲང་མའི་སྒྲུབ་ཐབས
D3120	འཕགས་མ་རྨ་བྱ་ཆེན་མོའི་སྒྲུབ་ཐབས
D3121	སྟོང་ཆེན་མོ་རབ་ཏུ་འཇོམས་མའི་སྒྲུབ་ཐབས
D3122	འཕགས་མ་གསང་སྔགས་ཆེན་མོ་རྗེས་སུ་འཛིན་མའི་སྒྲུབ་ཐབས
