G1	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
G1414	ཕགས་པ་འཇམ་དཔལ་གྱི་རབ་ཏུ་གནས་པའི་ཆོ་ག
G1415	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་གསང་བ་དང་ལྡན་པའི་སྒྲུབ་པའི་ཐབས་ཀྱི་འགྲེལ་པ་ཡེ་ཤེས་གསལ་བ་ཞེས་བྱ་བ
G1416	སྒྲུབ་ཐབས་གསང་བ་དང་ལྡན་པའི་ཐིག་གི་ཆོ་ག
G1417	སྤྱན་དབྱེ་བའི་ཆོ་ག
G1418	ཕགས་པ་འཇམ་དཔལ་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G1419	ཕགས་པ་འཇམ་དཔལ་རིན་པོ་ཆེའི་ཆོ་ག
G1420	ཇམ་དཔལ་ཆོས་དབྱིངས་གསུང་དབང་གི་དཀྱིལ་ཆོ་ག
G1421	དཔལ་འཇམ་པའི་རྡོ་རྗེ་འབྱུང་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་སེམས་ཅན་ཐམས་ཅད་ཀྱི་བདེ་བ་བསྐྱེད་པ་ཞེས་བྱ་བ
G1422	བྱང་ཆུབ་ཀྱི་སེམས་བསྒོམ་པ
G1423	ཕགས་པ་འཇམ་དཔལ་གྱི་མཙན་ཡང་དག་པར་བརྗོད་པའི་ཆོ་ག་མདོ་དང་བསྲེས་པ
G1424	གསང་ལྡན་གྱི་དཀའ་འགྲེལ་དོན་བསྡུས་སྒྲོན་མ
G1425	གསང་ལྡན་གྱི་ཐོ་ཡིག
G1426	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G1427	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་སྒྲུབ་ཐབས་གསང་བའི་སྒྲོན་མ་ཞེས་བྱ་བ
G1428	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་འཁོར་ལོའི་རིམ་པ
G1429	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་སྒྲུབ་ཐབས
G1430	ཕགས་པ་འཇམ་དཔལ་གྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཡིད་བཞིན་ནོར་བུ་ཞེས་བྱ་བ
G1431	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G1432	ཕགས་པ་འཇམ་དཔལ་གྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G1433	ཕགས་པ་འཇམ་དཔལ་ཡེ་ཤེས་སེམས་དཔའ་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བའི་སྒྲུབ་ཐབས
G1434	སྦྱིན་སྲེག་གི་ཆོ་ག་མདོར་བྱས་པ
G1435	ཇམ་དཔལ་ཡེ་ཤེས་སེམས་དཔའ་དང་པོའི་སངས་རྒྱས་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
G1436	མཆོད་རྟན་གྱི་སྒྲུབ་པའི་ཆོ་ག་མདོར་བསྡུས་པ
G1437	ཕགས་པ་འཇམ་དཔལ་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G1438	རྡོ་རྗེ་འཇིགས་བྱེད་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G1439	གཤིན་རྗེ་དགྲ་ནག་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G1440	ཕགས་པ་མི་གྱོ་བའི་བསྒྲུབ་ཐབས
G1441	གཏོར་མའི་ཆོ་ག
G1442	ཕགས་པ་འཇམ་དཔལ་གྱི་སྤྱོད་ལམ་གྱི་ཆོ་ག
G1443	ཇམ་དཔལ་རྡོ་རྗེའི་བུམ་པའི་ཆོ་ག
G1444	ཡེ་ཤེས་སེམས་དཔའི་སྒྲུབ་ཐབས
G1445	མཚན་ཡང་དག་པར་བརྗོད་པ་སྒྲུབ་པའི་ཐབས
G1446	མཚན་ཡང་དག་པར་བརྗོད་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G1447	མཚན་ཡང་དག་པར་བརྗོད་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
G1448	མཚན་བརྗོད་ཀློག་པའི་མན་ངག་ཅེས་བྱ་བ
G1449	རྣམ་པ་ཉི་ཤུས་བྱང་ཆུབ་པའི་རིམ་པས་བཅོམ་ལྡན་འདས་འཇམ་དཔལ་སྒྲུབ་པའི་ཐབས
G1450	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G1451	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G1452	ཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་དརྗོད་པའི་དཀྱིལ་འཁོར་ཐམས་ཅད་ལ་བསྟོད་པ
G1453	གཏོར་མའི་ཆོ་ག
G1454	དཔལ་ཐམས་ཅད་གསང་བའི་བཤད་སྦྱར་གསང་བའི་སྒྲོན་མ་ཞེས་བྱ་བ
G1455	ངན་སོང་སྦྱོང་བའི་དོན་གྱི་འབྲུ་འགྲེལ
G1456	ཕགས་པ་ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བ་གཟི་བརྗིད་ཀྱི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཆོ་ག་ཞིབ་མོའི་རྒྱལ་པོ་ཆེན་པོའི་རྒྱ་ཆེར་འགྲེལ་པ
G1457	བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སང་རྒྱས་ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བ་གཟི་བྲིད་ཀྱི་རྒྱལ་པོ་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་རྣམ་པར་བཤད་པ་མཛེས་པའི་རྒྱན་ཞེས་བྱ་བ
G1458	ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བ་གཟི་བརྗིད་ཀྱི་རྒྱལ་པོ་བརྟག་པ་སྣང་བའི་རྒྱན་ཞེས་བྱ་བ
G1459	དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བ་གཟི་བརྗིད་ཀྱི་རྒྱལ་པོ་ཞེས་བྱ་བའི་བརྟག་པའི་བཤེད་པ
G1460	དཀྱིལ་འཁོར་སྤྱིའི་རིམ་པ
G1461	ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་དཀྱིལ་འཁོར་ཆེན་པོའི་སྒྲུབ་ཐབས
G1462	དཔལ་ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཐུགས་རྗེའི་ཕྲེང་བ་ཞེས་བྱ་བ
G1463	དཔལ་ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་རོའི་སྦྱིན་སྲེག་གི་ཆོ་ག
G1464	ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
G1465	ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་གའི་རིམ་པ་ཞེས་བྱ་བ
G1466	ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་རོའི་སྦྱིན་སྲེག་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G1467	ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བ་ཞེས་བྱ་བའི་ཆོ་གའི་བྱ་བ་མདོར་བསྡུས་པ
G1468	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོའི་སྒྲུབ་ཐབས
G1469	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G1470	ཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མན་ངན་ཅེས་བྱ་བ
G1471	དེ་ཁོ་ན་ཉིད་གསལ་བར་བྱེད་པའི་སྒྲོན་མ་ཞེས་བྱ་བ
G1472	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G1473	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
G1474	རབ་གནས་ཀྱི་ཆོ་ག་མདོར་བསྡུས་པ་ཞེས་བྱ་བ
G1475	ཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཆུལ་བརྒྱ་ལྔ་བཅུ་པའི་འགྲེལ་པ
G1476	ཡི་གེ་བརྒྱ་པའི་ཆོ་ག
G1477	ཡི་གེ་བརྒྱ་པའི་ཆོ་ག
G1478	བཟླས་པའི་ཕྲེང་བའི་མཚན་ཉིད
G1479	སྐུ་ཁྲུས་ཀྱི་ཆོ་ག
G1480	མཆོད་རྟེན་སྒྲུབ་པའི་ཆོ་ག
G1481	མི་འཁྲུགས་པའི་སྲུབ་ཐབས་ཞེས་བྱ་བ
G1482	བཅོམ་ལྡན་འདས་མི་འཁྲུག་པའི་སྒྲུབ་ཐབས
G1483	ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སྦྱོང་བ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G1484	མི་འཁྲུགས་པའི་ཆོ་གའི་ཐོ་ཡིག
G1485	མངོན་པོ་མི་འཁྲུགས་པའི་སྒྲུབ་པའི་ཐབས
G1486	བཅོམ་ལྡན་འདས་མི་འཁྲུགས་པའི་སྒྲུབ་པའི་ཐབས
G1487	སྦྱིན་སྲེག་གི་ཆོ་ག
G1488	ཕགས་པ་རྡོ་རྗེ་ཆོས་ཀྱི་རྣལ་འབྱོར་གཅིག་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G1489	རྒྱན་དམ་པ་སྣ་ཚོགས་པ་རིམ་པར་ཕྱེ་བ་བཀོད་པ་ཞེས་བྱ་བ
G1490	རྣམ་པར་སྣང་མཛད་མངོན་པར་རྫོགས་པར་བྱང་ཆུབ་པའི་རྒྱུད་ཀྱི་བསྡུས་པའི་དོན
G1491	རྣམ་པར་སྣང་མཛད་མངོན་པར་བྱང་ཆུབ་པ་རྣམ་པར་སྤྲུལ་པའི་བྱིན་གྱིས་བརླབས་ཀྱི་རྒྱུད་ཆེན་པོའི་བཤད་པ
G1492	རྣམ་པར་སྣང་མཛད་ཆེན་པོ་མངོན་པར་བྱང་ཆུབ་པར་གཏོགས་པའི་རྒྱུད་ཀྱི་མཆོད་པའི་ཆོ་ག
G1493	རྣམ་པར་སྣང་མཛད་ཀྱི་སྒྲུབ་པའི་ཐབས་ཀྱི་ཆོ་ག
G1494	རྣམ་པར་སྣང་མཛད་མངོན་པར་རྫོགས་པར་བྱང་ཆུབ་པ་རྣམ་པར་སྤྲུལ་པ་བྱིན་གྱིས་རློབ་པའི་རྒྱུད་ཆེན་པོའི་འགྲེལ་པ
G1495	ཕགས་པ་འཇམ་དཔལ་གསང་བའི་རྒྱུད་ཀྱི་སྒྲུབ་ཐབས་དང་ལས་ཀུན་གྱི་གཏེར་ཞེས་བྱ་བའི་འགྲེལ་པ
G1496	ཕགས་པ་འཇམ་དཔལ་གསང་བའི་རྒྱུད་ཀྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G1497	བཅོམ་ལྡན་འདས་འཇམ་པའི་དབྱངས་ཀྱི་ཁྲོ་བོ་གཤིན་རྗེ་གཤེད་པོའི་སྦྱིན་སྲེག་གི་ཆོ་ག
G1498	ཁྲོ་བོ་རྣམ་པར་རྒྱལ་བའི་རྟོག་པ་གསང་བའི་རྒྱུད་ཀྱི་རྒྱ་ཆེར་བཤད་པ
G1499	བསམ་གཏན་ཕྱི་མ་རིམ་པར་ཕྱེ་བ་རྒྱ་ཆེར་བཤེད་པ
G1500	ཕགས་པ་དཔུང་བཟངས་ཀྱི་ཞུས་པའི་རྒྱུད་ཀྱི་བསྡུས་པའི་དོན
G1501	ཕགས་པ་དཔུང་བཟངས་ཀྱིས་ཞུས་པའི་རྒྱུད་ཚིག་གི་དོན་བཤད་པའི་བརྗེད་བྱང
G1502	ཕགས་པ་དཔུང་བཟངས་ཀྱིས་ཞུས་པའི་རྒྱུད་ཀྱི་བསྡུས་པའི་དོན་དཀྲོལ་བའི་བརྗེད་བྱང
G1503	དཔའ་བོ་གཅིག་སྒྲུབ་པའི་རྒྱུད་ཀྱི་འགྲེལ་པ
G1504	ཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སངོན་པོ་ཅན་གྱི་ཆོ་ག་ཤེས་བྱ་བའི་གཟུངས་ཀྱི་འབྲེལ་པ
G1505	ཕགས་པ་ཕྱག་ན་རྡོ་རྗེ་གོས་སངོན་པོ་ཅན་གྱི་གཟུངས་ཀྱི་འགྲེལ་པ་ཞེས་བྱ་བ
G1506	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་བཤད་པ
G1507	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ་རྡོ་རྗེ་སགྲོན་མ་ཞེས་བྱ་བ
G1508	ཕགས་པ་རྡོ་རྗེ་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་རྒྱ་ཆེར་འགྲེལ་པ་རིམ་པོ་ཆེ་གསལ་བ་ཞེས་བྱ་བ
G1509	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་གཟུངས་ཞེས་བྱ་བའི་རྣམ་པར་བཤད་པ
G1510	ཕགས་པ་རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་གཟུངས་ཞེས་བྱ་བའི་རྣམ་པར་བཤད་པའི་རྒྱ་ཆེར་འགྲེལ་པ
G1515	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་གཟུངས་ཀྱི་འགྲེལ་པ
G1511	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་རྣམ་པར་བཤད་པ
G1513	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་མན་ངག
G1514	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་འགྲེལ་པ་རིན་ཆེན་ཕྲེང་བ་ཞེས་བྱ་བ
G1516	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་གཟུངས་ཞེས་བྱ་བའི་རིམ་པར་ཕྱེ་བའི་རྒྱ་ཆེར་འགྲེལ་པ་གསལ་བའི་སྒྲོན་མ་ཞེས་བྱ་བ
G1517	ཀུན་ནས་སྒོར་འཇུག་པའི་འོད་ཟེར་གཙུག་ཏོར་དྲི་མ་མེད་པར་སྣང་བ་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་སྙིང་པོ་དང་དམ་ཚིག་ལ་རྣམ་པར་བལྟ་བ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ
G1518	དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་གཙུག་ཏོར་ནས་བྱུང་བ་གདུགས་དཀར་མོ་ཅན་ཞེས་བྱ་བའི་འགྲེལ་པ
G1519	སྟོང་ཆེན་མོ་རབ་ཏུ་འཇོམས་པའི་མདོའི་འབུམ་འགྲེལ་པ
G1520	རིག་སྔགས་ཀྱི་རྒྱལ་མོ་རྨ་བྱ་ཆེན་མོའི་མདོའི་འབུམ་འགྲེལ་ཞེས་བྱ་བ
G1521	གསང་སྔགས་ཆེན་མོ་རྗེས་སུ་འཛིན་མའི་མདོའི་འབུམ་འགྲེལ
G1522	རིག་སྔགས་ཀྱི་རྒྱལ་མོ་ཆེན་མོ་བསིལ་བའི་ཚལ་གྱི་མདོའི་འབུམ་འགྲེལ་ཞེས་བྱ་བ
G1523	ཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ
G1524	ཕགས་པ་སྒོ་མཐའ་ཡས་པས་སྒྲུབ་པའི་གཟུངས་རྣམ་པར་བཤད་པའི་ཚིག་ལེའུར་བྱས་པ
G1525	ཕགས་པ་སྒོ་མཐའ་ཡས་པས་སྒྲུབ་པའི་གཟུངས་རྒྱ་ཆེར་འགྲེལ་པ
G1527	དམ་ཚིག་གསུམ་བཀོད་པའི་རྒྱལ་པོ་ཡི་གེ་བརྒྱ་པའི་སྒྲུབ་ཐབས
G1528	ཚེ་དཔག་མེད་ལ་བསྟོད་པ
G1529	ཕགས་པ་ཚེ་དང་ཡེ་ཤེས་དཔག་ཏུ་མེད་པའི་སྒྲུབ་ཐབས
G1530	ཚེ་དང་ཡེ་ཤེས་དཔག་ཏུ་མེད་པའི་ཆོ་ག་ཞེས་བྱ་བ
G1531	ཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ་ཞེས་བྱ་བ
G1532	བཅོམ་ལྡན་འདས་འཇམ་པའི་དབྱངས་ཀྱི་དཔྱད
G1533	ཇམ་པའི་དབྱངས་དཔའ་བོ་གཅིག་ཏུ་གྲུབ་པའི་སྒྲུབ་ཐབས
G1534	རྗེ་བཙུན་འཇམ་དཔལ་ཤེས་རབ་འཁོར་ལོའི་སྒྲུབ་ཐབས
G1535	ཇམ་དཔལ་གྱོ་བའི་འཁོར་ལོ
G1536	ངག་གི་དབང་ཕྱུག་ལ་བསྟོད་པ
G1537	ཕགས་པ་འཇམ་དཔལ་ལ་བསྟོད་པ
G1538	ཕགས་པ་ངག་གི་དབང་ཕྱུག་ལ་བསྟོད་པ
G1539	གུར་ཀུམ་གཞོན་ནུ་ལྟ་བུའི་བསྟོད་པ
G1540	བཅོམ་ལྡན་འདས་འཕགས་པ་འཇམ་དཔལ་གྱི་བསྟོད་པ་བྱིན་བརླབས་དང་བཅས་པ
G1541	དཔལ་ཡེ་ཤེས་ཡོན་ཏན་བཟང་པོ་ཞེས་བྱ་བའི་བསྟོད་པ
G1542	ཕགས་པ་འཇམ་པའི་དབྱངས་ཀྱི་བསྟོད་པ
G1543	ཨ་ར་པ་ཙ་ནའི་སྒྲུབ་ཐབས་ཀྱི་ཆོ་ག
G1544	ཨ་ར་པ་ཙ་ནའི་སྒྲུབ་ཐབས
G1545	ཕགས་པ་འཇམ་དཔལ་གྱི་སྒྲུབ་པའི་ཐབས
G1546	ཕགས་པ་ཨ་ར་པ་ཙ་ནའི་མཆོད་པའི་ཆོ་ག་ཞེས་བྱ་བ
G1547	ཕགས་པ་དོན་ཡོད་ཞགས་པ་ལྷ་ལྔའི་བསྟོད་པ
G1548	ཇིག་རྟེན་མགོན་པོའི་བསྟོད་པ་ཡིད་འཕྲོག་སྡིག་འཇོམས་ཞེས་བྱ་བ
G1549	ཕགས་པ་དོན་ཡོད་ཞགས་པའི་དཀྱིལ་འཁོར་གྱི་ལྷ་ཚོགས་ལ་བསྟོད་པ་དྲི་མ་མེད་པའི་འོད་ཅེས་བྱ་བ
G1550	ཐུགས་རྗེ་ཆེན་པོ་ལ་བསྟོད་ཅིང་བསྐུལ་བ
G1552	ཕགས་པ་དོན་ཡོད་ཞགས་པ་ལྷ་ལྔའི་བསྟོད་པ
G1553	ཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་ཙརཔཔ་ཊིས་བསྟོད་པ
G1554	ཇིག་རྟེན་དབང་ཕྱུག་གི་བསྟོད་པ་བརྒྱ་པ
G1558	ཕགས་པ་ཐུགས་རྗེ་ཆེན་པོ་ལ་བསྟོད་པ་སྨྲེ་སྔགས་སུ་གསོལ་བ
G1555	ཇིག་རྟེན་དབང་ཕྱུག་ལ་བསྟོད་པ
G1556	ནོར་བུ་གླིང་གི་ཐུགས་རྗེ་ཆེན་པོ་ལྷ་ལྔ་ལ་བསྟོད་པ
G1557	ཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་བསྟོད་པ
G1559	ཐུགས་རྗེ་ཆེན་པོའི་གསོལ་འདེབས
G1561	སྙིང་རྗེ་ལ་བསྟོད་པ
G	ཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་གི་བསྟོད་པ
G1562	ཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་སྒྲུབ་ཐབས
G1563	ཕགས་པ་འཇིག་རྟེན་དབང་ཕྱུག་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས
G1564	རྗེ་བཙུན་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཞལ་བཅུ་གཅིག་པའི་སྒྲུབ་ཐབས
G1565	དཔལ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་བསྟོད་པ་ཞེས་བྱ་བ
G1566	ཕགས་པ་འཇིག་རྟེན་དབང་ཕྱུག་ལ་ཀླུའི་རྒྱལ་པོ་ནོར་རྒྱས་ཀྱིས་བསྟོད་པ
G1567	ཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་བསྟོད་པ
G1568	ཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་གི་བསྟོད་པ
G1570	ཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་གི་སྒྲུབ་ཐབས་བརྒྱ་རྩ་བརྒྱད་པ
G1571	ཇིག་རྟེན་དབང་ཕྱུག་གི་སྒྲུབ་ཐབས
G1572	ཐུགས་རྗེ་ཆེན་པོ་ཡེ་ཤེས་སེམས་དཔའི་སྒྲུབ་ཐབས
G1573	སྤྱན་རས་གཟིགས་འཁོར་ལོ་གསུམ་སྒོམ་པ
G1574	ཐུགས་རྗེ་ཆེན་པོ་ལྷ་ལྔའི་སྒྲུབ་ཐབས
G1575	དཔལ་འཇིག་རྟེན་མགོན་པོ་ཚད་མེད་བཞིའི་སྒྲུབ་ཐབས
G1576	དཔལ་འཇིག་རྟེན་མགོན་པོ་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས
G1577	སེམས་ངལ་སོ་བའི་ཐུགས་རྗེ་ཆེན་པོའི་སྒྲུབ་ཐབས
G1578	ཐུགས་རྗེ་ཆེན་པོ་ཡི་གེ་མེད་པའི་སྒྲུབ་ཐབས
G1579	སྟོང་པ་ཉིད་བསྒོམ་པའི་མན་ངག
G1580	དཔལ་མཁར་ས་པ་ཎི་མར་མེ་འབར་བའི་སྒྲུབ་ཐབས
G1581	དཔལ་མཁར་ས་པ་ཎི་སྐུ་གསུམ་གྱི་གདམས་པ
G1582	ཐུགས་རྗེ་ཆེན་པོ་མཁའ་སྤྱོད་ཀྱི་སྒྲུབ་ཐབས
G1583	ནམ་མཁའ་དྲི་མེད་ཀྱི་སྒྲུབ་ཐབས
G1584	ཐུགས་རྗེ་ཆེན་པོ་ནམ་མཁའ་མཛོད་ཀྱི་སྒྲུབ་ཐབས
G1585	སྤྱན་རས་གཟིགས་བཅུ་གཅིག་པའི་ཞལ་ཅན་གྱི་སྒྲུབ་ཐབས
G1586	དཔལ་མཁར་ས་པ་ཎི་ཡེ་ཤེས་ཀྱི་འཁོར་ལོའི་སྒྲུབ་ཐབས
G1587	སྤྱན་རས་གཟིགས་ཡིད་བཞིན་ནོར་བུའི་སྒྲུབ་ཐབས
G1588	དཔལ་ཐུགས་རྗེ་ཆེན་པོ་པོ་ཏ་ལ་ཀེའི་རིའི་རྩེ་མོའི་སྒྲུབ་ཐབས
G1589	ཐུགས་རྗེ་ཆེ་པོ་ཅན་དཔལ་འཁོར་ལོས་བསྒྱུར་བའི་སྒྲུབ་ཐབས
G1590	ཐུགས་རྗེ་ཆེན་པོ་ལུས་ཀྱི་འཁོར་ལོ་འབར་བ
G1591	ཐུགས་རྗེ་ཆེན་པོ་དཀའ་ཐུབ་ཅན་གྱི་སྒྲུབ་ཐབས
G1592	དཔལ་ཐུགས་རྗེ་ཆེན་པོ་རྟག་ཏུ་བྱ་བའི་རྣལ་འབྱོར
G1593	དཔལ་འཇིག་རྟེན་མགོན་པོ་བསྒྲུབ་པའི་མན་ངག
G1594	ཐུགས་རྗེ་ཆེན་པོའི་གཏོར་མའི་ཆོ་ག
G1595	ཐུགས་རྗེ་ཆེན་པོ་མཎཌལ་གྱི་ཆོ་ག
G1596	བསམ་གྱིས་མི་ཁྱབ་པའི་མཆོད་པའི་ཆོ་ག
G1597	སྨོན་ལམ་དུ་བྱ་བ
G1598	དཔལ་སྤྱན་རས་གཟིགས་བདུད་རྩི་བརྙེས་པའི་ཟས་ཀྱི་ཆོ་ག
G1599	རྣལ་འབྱོར་གྱི་དབང་ཕྱུག་ཆེན་པོ་ཤརའི་མི་ཏྲའི་གདམས་པ་ལུས་སྦྱིན་འཔི་ཆོ་ག
G1600	ཆུ་སྦྱིན་གྱི་ཆོ་ག
G1601	དཔལ་ཐུགས་རྗེ་ཆེན་པོའི་ཆབ་གྱི་ཆོ་ག
G1602	མེའི་མཆོད་པའི་ཆོ་ག
G1603	སྐུ་གཟུགས་ཀྱི་ཆོ་ག
G1604	སྐུ་གཟུགས་དང་མཆོད་རྟེན་གྱི་ཆོ་ག
G1605	ཡེ་ཤེས་སྦར་བའི་གདམས་པ
G1606	དྲི་མ་རྣམ་དག་གི་ཆོ་ག
G1607	ཆག་ཉམས་གསོ་བ
G1608	ཏིང་ངེ་འཛིན་མྱུར་དུ་བསྐྱེད་པའི་གདམས་ངག
G1609	ཏིང་ངེ་འཛིན་བརྟེན་པར་བྱེད་པའི་གདམས་ངག
G1610	སེམས་བརྟེན་པར་བྱེད་པ
G1611	བྱིན་གྱིས་བརླབས་མི་ཟབ་པའི་ཆོ་ག
G1612	ཁོར་ལོ་འབར་བ
G1613	དཔལ་ངག་གི་མཐུ་བསྐྱེད་པའི་མན་ངག
G1614	གསང་སྔགས་མྱུར་དུ་གྲུབ་པའི་ཆོ་ག
G1615	རྨི་ལམ་དྲི་མ་མེད་པའི་བསྒོམ་པ
G1616	རྨི་ལམ་གྱི་ལྟ་བ་ངན་པ་རྣམ་པར་བཟློག་པ
G1617	ཁྲོ་བ་གསལ་བ
G1618	ཕགས་པ་ཐུགས་རྗེ་ཆེན་པོ་གདུག་པ་འདུལ་བའི་ཆོ་ག
G1619	སྐྱེ་བོ་གདུལ་བར་དཀའ་བ་རྣམས་ཀྱི་སྙིང་གི་དྲེགས་པ་ཞི་བར་བྱེད་པའི་ཆོ་ག
